Task,Test,Overall,Claude-Text,Gemini-Text,GPT-Text,GPT-Text,GPT-Deep,GPT-Deep,GPT-Deep,GPT-Deep,Gemini-Image,Gemini-Image,Gemini-Image,Gemini-Image,GPT-Image,GPT-Image,GPT-Image,GPT-Image,GPT-Image,GPT-Image,Gemini-Code-Tools,Gemini-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools,GPT-Code-Tools
,,,Text,Text,Text,Text,Deep,Deep,Deep,Deep,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
dbff022c,1,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,FAIL,,,,,,,,FAIL,FAIL,FAIL
8e5c0c38,1,PASS,PASS,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,FAIL,,,,,,,,FAIL,FAIL,FAIL
d35bdbdc,3,PASS,FAIL,PASS,FAIL,FAIL,,,,,,,,,,,,,,,FAIL,,,,,,,,FAIL,FAIL,FAIL
136b0064,1,PASS,FAIL,PASS,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,PASS
16de56c4,1,PASS,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,FAIL
16de56c4,2,PASS,FAIL,FAIL,PASS,PASS,,,,,,,,,,,,,,,PASS,,,,,,,,PASS,PASS,PASS
1ae2feb7,1,PASS,FAIL,PASS,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,PASS
2ba387bc,1,PASS,PASS,PASS,FAIL,FAIL,,,,,,,,,,,,,,,PASS,,,,,,,,PASS,PASS,PASS
581f7754,2,PASS,PASS,FAIL,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,PASS
58f5dbd5,1,PASS,PASS,FAIL,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,PASS
65b59efc,1,PASS,PASS,FAIL,PASS,PASS,,,,,,,,,,,,,,,FAIL,,,,,,,,PASS,PASS,PASS
67e490f4,1,PASS,FAIL,FAIL,PASS,PASS,,,,,,,,,,,,,,,PASS,,,,,,,,PASS,PASS,PASS
7ed72f31,2,PASS,PASS,FAIL,PASS,PASS,,,,,,,,,,,,,,,PASS,,,,,,,,PASS,FAIL,PASS
8e5c0c38,2,PASS,FAIL,PASS,PASS,PASS,,,,,,,,,,,,,,,PASS,,,,,,,,FAIL,PASS,PASS
